ilan_no,room,salon,brut_m2,net_m2,floor_location,building_age,building_floor,compliance_with_loan,bathroom_amount,building_type,fuel_type,price,il,ilce,mahalle,home_link
9595-2369,3,1,120,110,2,50,3,True,1,Betonarme,Doğalgaz,1450000,Ankara,Mamak,Demirlibahçe,https://www.hepsiemlak.com//en/ankara-mamak-demirlibahce-satilik/daire/9595-2369

135696-5,1,1,75,60,Ara Kat,0,4,True,1,Betonarme,Doğalgaz,1400000,Balıkesir,Edremit,Altınkum,https://www.hepsiemlak.com//en/balikesir-edremit-altinkum-satilik/daire/135696-5

1170-5636,3,1,100,90,1,35,4,True,1,Betonarme,Doğalgaz,1600000,Ankara,Çankaya,Emek,https://www.hepsiemlak.com//en/ankara-cankaya-emek-satilik/daire/1170-5636

1170-5636,3,1,100,90,1,35,4,True,1,Betonarme,Doğalgaz,,Ankara,Çankaya,Emek,https://www.hepsiemlak.com//en/balikesir-edremit-altinkum-satilik/daire/135696-129

1170-5636,3,1,100,90,1,35,4,True,1,Betonarme,Doğalgaz,,Ankara,Çankaya,Emek,https://www.hepsiemlak.com//en/ankara-polatli-istiklal-satilik/daire/129186-318

1170-5636,3,1,100,90,1,35,4,True,1,Betonarme,Doğalgaz,,Ankara,Çankaya,Emek,https://www.hepsiemlak.com//en/balikesir-edremit-akcay-satilik/daire/130093-775

5116-757,4,1,300,250,4,4,4,True,1,Betonarme,Doğalgaz,2449000,Ankara,Keçiören,Atapark,https://www.hepsiemlak.com//en/ankara-kecioren-atapark-satilik/daire/5116-757

5116-658,4,1,210,200,6,3,17,True,2,Betonarme,Doğalgaz,3499000,Ankara,Keçiören,Ovacık,https://www.hepsiemlak.com//en/ankara-kecioren-ovacik-satilik/daire/5116-658

121739-51,4,1,190,170,Zemin,0,15,True,2,Betonarme,Doğalgaz,3500000,Ankara,Etimesgut,Göksu,https://www.hepsiemlak.com//en/ankara-etimesgut-goksu-satilik/daire/121739-51

40554-751,4,2,240,220,4,30,4,True,3,Betonarme,Doğalgaz,17000000,İstanbul,Beşiktaş,Nisbetiye,https://www.hepsiemlak.com//en/istanbul-besiktas-nisbetiye-satilik/daire/40554-751

2545-6920,4,1,190,185,6,3,16,True,2,Betonarme,Doğalgaz,3500000,Ankara,Pursaklar,MimarSinan,https://www.hepsiemlak.com//en/ankara-pursaklar-mimar-sinan-satilik/daire/2545-6920

84036-25361,2,1,100,90,1,0,4,True,1,Betonarme,Kömür-Odun,1650000,Balıkesir,Edremit,Akçay,https://www.hepsiemlak.com//en/balikesir-edremit-akcay-satilik/daire/84036-25361

84036-25361,2,1,100,90,1,0,4,True,1,Betonarme,Kömür-Odun,,Balıkesir,Edremit,Akçay,https://www.hepsiemlak.com//en/istanbul-kadikoy-caferaga-satilik/daire/1045-4482

84036-25361,2,1,100,90,1,0,4,True,1,Betonarme,Kömür-Odun,,Balıkesir,Edremit,Akçay,https://www.hepsiemlak.com//en/aydin-kusadasi-davutlar-satilik/daire/112101-1435

84036-25361,2,1,100,90,1,0,4,True,1,Betonarme,Kömür-Odun,,Balıkesir,Edremit,Akçay,https://www.hepsiemlak.com//en/izmir-balcova-cetin-emec-satilik/daire/130639-76

84036-25361,2,1,100,90,1,0,4,True,1,Betonarme,Kömür-Odun,,Balıkesir,Edremit,Akçay,https://www.hepsiemlak.com//en/ankara-kecioren-ovacik-satilik/daire/4901-3949

4901-4121,4,1,220,200,4,2,25,True,2,Betonarme,Doğalgaz,6099000,Ankara,Keçiören,Ovacık,https://www.hepsiemlak.com//en/ankara-kecioren-ovacik-satilik/daire/4901-4121

135974-12,2,1,112,95,2,0,3,True,2,Betonarme,Elektrik,1960000,Antalya,Kepez,Aktoprak,https://www.hepsiemlak.com//en/antalya-kepez-aktoprak-satilik/daire/135974-12

135974-12,2,1,112,95,2,0,3,True,2,Betonarme,Elektrik,,Antalya,Kepez,Aktoprak,https://www.hepsiemlak.com//en/balikesir-edremit-camlibel-satilik/daire/110461-663

84209-1750,3,1,180,160,7,22,12,True,1,Betonarme,Doğalgaz,6850000,İstanbul,Kadıköy,Bostancı,https://www.hepsiemlak.com//en/istanbul-kadikoy-bostanci-satilik/daire/84209-1750

125358-149,3,1,160,140,1,0,4,True,2,Betonarme,Doğalgaz,3250000,İstanbul,Beylikdüzü,AdnanKahveci,https://www.hepsiemlak.com//en/istanbul-beylikduzu-adnan-kahveci-satilik/daire/125358-149

125358-152,3,1,170,160,1,11,13,True,1,Betonarme,Doğalgaz,6499000,İstanbul,Beylikdüzü,AdnanKahveci,https://www.hepsiemlak.com//en/istanbul-beylikduzu-adnan-kahveci-satilik/daire/125358-152

125358-152,3,1,170,160,1,11,13,True,1,Betonarme,Doğalgaz,,İstanbul,Beylikdüzü,AdnanKahveci,https://www.hepsiemlak.com//en/antalya-gazipasa-pazarci-satilik/daire/135808-9

